# Docs audit URL list: project,url optional third field "keep" (pins row when not in any flow source / docs.json)
# Sync: npm run sync:docs-urls | Legacy bare URLs are read as project CMS (override with DOCS_URL_LEGACY_PROJECT).
project,url
CMS,https://www.contentstack.com/docs/content-managers/timeline/preview-content-across-a-timeline
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/approve-edit-access-request-for-an-entry
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/change-entry-workflow-stage
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/entry-default-workflow-stage
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/mark-a-task-as-complete
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/revoke-edit-access-for-an-entry
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/send-an-entry-for-edit-access-approval
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/send-an-entry-for-publish-or-unpublish-approval
CMS,https://www.contentstack.com/docs/content-managers/use-workflows/use-task-filter
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/about-visual-editor
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/add-to-release
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/audiences
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/automate
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/change-workflow
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/create-new-page
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/discussions
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/drafts
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/edit-page
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/form
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/limitations-for-visual-editor
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/navigating-your-website-in-visual-editor
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/publish-page
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/status
CMS,https://www.contentstack.com/docs/content-managers/visual-editor/widgets
CMS,https://www.contentstack.com/docs/content-managers/working-with-entries/additional-metadata-support-for-entries
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/cloud-infrastructure-architecture-for-contentstack-powered-websites
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/contentstack-powered-website-layered-architecture
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/dynamic-website-detailed-architecture
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/mach-architecture-diagram
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/mobile-and-smart-devices-system-architecture
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/partially-headless-setup-detailed-architecture
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/simple-website-detailed-architecture
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/simple-website-using-datasync
CMS,https://www.contentstack.com/docs/developers/architecture-diagrams/static-website-detailed-architecture
CMS,https://www.contentstack.com/docs/developers/branches/about-aliases
CMS,https://www.contentstack.com/docs/developers/branches/about-branches
CMS,https://www.contentstack.com/docs/developers/branches/about-compare-and-merge-branches
CMS,https://www.contentstack.com/docs/developers/branches/assign-an-alias-to-a-branch
CMS,https://www.contentstack.com/docs/developers/branches/branch-specific-modules
CMS,https://www.contentstack.com/docs/developers/branches/comparing-branches
CMS,https://www.contentstack.com/docs/developers/branches/create-a-branch
CMS,https://www.contentstack.com/docs/developers/branches/delete-a-branch
CMS,https://www.contentstack.com/docs/developers/branches/delete-an-alias
CMS,https://www.contentstack.com/docs/developers/branches/edit-an-alias
CMS,https://www.contentstack.com/docs/developers/branches/get-started-with-comparing-and-merging-branches
CMS,https://www.contentstack.com/docs/developers/branches/global-modules
CMS,https://www.contentstack.com/docs/developers/branches/limitations-of-aliases
CMS,https://www.contentstack.com/docs/developers/branches/limitations-of-branches
CMS,https://www.contentstack.com/docs/developers/branches/merging-branches
CMS,https://www.contentstack.com/docs/developers/branches/real-world-scenarios
CMS,https://www.contentstack.com/docs/developers/branches/use-branches-and-aliases-to-drive-continuous-integration-and-deployment
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching/cache-purging-scenarios
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching/contentstack-cdn-cache-management
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching/front-end-cdn-cache-purging-best-practices
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching/set-up-a-content-delivery-network-for-contentstack-powered-websites
CMS,https://www.contentstack.com/docs/developers/cdn-and-caching/what-is-cdn-and-how-it-works
CMS,https://www.contentstack.com/docs/developers/content-modeling/about-content-modeling
CMS,https://www.contentstack.com/docs/developers/content-modeling/about-us-page
CMS,https://www.contentstack.com/docs/developers/content-modeling/blog-landing-page
CMS,https://www.contentstack.com/docs/developers/content-modeling/blog-listing-page
CMS,https://www.contentstack.com/docs/developers/content-modeling/contact-us-page
CMS,https://www.contentstack.com/docs/developers/content-modeling/content-modeling-best-practices
CMS,https://www.contentstack.com/docs/developers/content-modeling/content-type-change-management
CMS,https://www.contentstack.com/docs/developers/content-modeling/faqs
CMS,https://www.contentstack.com/docs/developers/content-modeling/hero-banner
CMS,https://www.contentstack.com/docs/developers/content-modeling/product-listing-page
CMS,https://www.contentstack.com/docs/developers/content-modeling/website-footer
CMS,https://www.contentstack.com/docs/developers/content-modeling/website-header
CMS,https://www.contentstack.com/docs/developers/content-modeling/website-homepage
CMS,https://www.contentstack.com/docs/developers/contentstack-basics
CMS,https://www.contentstack.com/docs/developers/contentstack-basics/architecture-planning-deployment-models
CMS,https://www.contentstack.com/docs/developers/contentstack-basics/contentstack-resources-for-your-frontend-architecture
CMS,https://www.contentstack.com/docs/developers/contentstack-basics/how-to-start-using-contentstack
CMS,https://www.contentstack.com/docs/developers/contentstack-basics/understanding-contentstack
CMS,https://www.contentstack.com/docs/developers/contentstack-basics/what-you-need-to-get-started
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/about-regions
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/api-endpoints
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/choosing-a-region
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/data-storage
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/login-endpoints
CMS,https://www.contentstack.com/docs/developers/contentstack-regions/selecting-region-in-sdks
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-content-types
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-field-properties
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-field-visibility-rules
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-fields
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-labels
CMS,https://www.contentstack.com/docs/developers/create-content-types/about-urls
CMS,https://www.contentstack.com/docs/developers/create-content-types/add-a-field-visibility-rule
CMS,https://www.contentstack.com/docs/developers/create-content-types/add-choices
CMS,https://www.contentstack.com/docs/developers/create-content-types/allow-images-only
CMS,https://www.contentstack.com/docs/developers/create-content-types/allowed-file-types
CMS,https://www.contentstack.com/docs/developers/create-content-types/boolean
CMS,https://www.contentstack.com/docs/developers/create-content-types/choice-data-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/config-parameter-for-custom-fields-only
CMS,https://www.contentstack.com/docs/developers/create-content-types/content-type-versioning
CMS,https://www.contentstack.com/docs/developers/create-content-types/copy-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/create-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/create-and-apply-labels
CMS,https://www.contentstack.com/docs/developers/create-content-types/custom
CMS,https://www.contentstack.com/docs/developers/create-content-types/date
CMS,https://www.contentstack.com/docs/developers/create-content-types/default-value
CMS,https://www.contentstack.com/docs/developers/create-content-types/delete-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/display-name
CMS,https://www.contentstack.com/docs/developers/create-content-types/display-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/edit-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/export-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/field-limitations
CMS,https://www.contentstack.com/docs/developers/create-content-types/file
CMS,https://www.contentstack.com/docs/developers/create-content-types/file-size-limit
CMS,https://www.contentstack.com/docs/developers/create-content-types/global
CMS,https://www.contentstack.com/docs/developers/create-content-types/group
CMS,https://www.contentstack.com/docs/developers/create-content-types/group#example-2-survey-form
CMS,https://www.contentstack.com/docs/developers/create-content-types/help-text
CMS,https://www.contentstack.com/docs/developers/create-content-types/image-dimension-validation
CMS,https://www.contentstack.com/docs/developers/create-content-types/import-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/import-prebuilt-content-models
CMS,https://www.contentstack.com/docs/developers/create-content-types/instruction-value
CMS,https://www.contentstack.com/docs/developers/create-content-types/json-schema-for-creating-a-content-type
CMS,https://www.contentstack.com/docs/developers/create-content-types/limit-for-multiple-choices
CMS,https://www.contentstack.com/docs/developers/create-content-types/limitations-of-content-types
CMS,https://www.contentstack.com/docs/developers/create-content-types/limitations-of-field-visibility-rules
CMS,https://www.contentstack.com/docs/developers/create-content-types/link
CMS,https://www.contentstack.com/docs/developers/create-content-types/manage-labels
CMS,https://www.contentstack.com/docs/developers/create-content-types/managing-non-localizable-fields
CMS,https://www.contentstack.com/docs/developers/create-content-types/mandatory
